Iteration,Cross-Entropy
1,2.0913124084472656
2,6.530843734741211
3,2.18281888961792
4,3.7184441089630127
5,2.947209119796753
6,3.1434690952301025
7,2.91530704498291
8,2.4049437046051025
9,2.3492441177368164
10,2.141649007797241
11,2.134680986404419
12,2.10378098487854
13,2.031552314758301
14,2.0450055599212646
15,1.999967098236084
16,2.0476913452148438
17,2.1369552612304688
18,1.968461036682129
19,1.9939321279525757
20,1.9818120002746582
21,1.9536539316177368
22,1.9456253051757812
23,1.9632682800292969
24,2.007502317428589
25,2.0621440410614014
26,2.005781888961792
27,2.012816905975342
28,1.9798378944396973
29,1.9566047191619873
30,1.9251073598861694
31,1.9078691005706787
32,1.8829518556594849
33,1.8957390785217285
34,1.9144929647445679
35,1.9961588382720947
36,1.985202431678772
37,1.9301981925964355
38,1.9164469242095947
39,1.866645097732544
40,1.8181639909744263
41,1.8066784143447876
42,1.8070796728134155
43,1.8182934522628784
44,1.792994499206543
45,1.783595085144043
46,1.782443881034851
47,1.7728784084320068
48,1.796215295791626
49,1.8069475889205933
50,1.7851735353469849
51,1.7956684827804565
52,1.8511779308319092
53,1.8707095384597778
54,1.8375270366668701
55,1.7887307405471802
56,1.7670624256134033
57,1.7525248527526855
58,1.7598055601119995
59,1.7482788562774658
60,1.739582896232605
61,1.7430227994918823
62,1.7441331148147583
63,1.7509396076202393
64,1.7355374097824097
65,1.7128785848617554
66,1.6995762586593628
67,1.706770420074463
68,1.7106211185455322
69,1.7146621942520142
70,1.7181483507156372
71,1.699855089187622
72,1.6868829727172852
73,1.6851720809936523
74,1.701130747795105
75,1.730567216873169
76,1.7249952554702759
77,1.7548084259033203
78,1.7050731182098389
79,1.7187281847000122
80,1.6781177520751953
81,1.668117880821228
82,1.6885218620300293
83,1.688763976097107
84,1.6953508853912354
85,1.7068405151367188
86,1.7134673595428467
87,1.7072468996047974
88,1.680984377861023
89,1.6988872289657593
90,1.6948763132095337
91,1.7357978820800781
92,1.7389060258865356
93,1.677525281906128
94,1.6618751287460327
95,1.6462427377700806
96,1.6426825523376465
97,1.6348212957382202
98,1.6440163850784302
99,1.6474413871765137
100,1.6688159704208374
101,1.6359041929244995
102,1.6360666751861572
103,1.6371031999588013
104,1.6265184879302979
105,1.6196352243423462
106,1.6182416677474976
107,1.6211408376693726
108,1.624210000038147
109,1.6122335195541382
110,1.6111387014389038
111,1.6212602853775024
112,1.6234612464904785
113,1.6325966119766235
114,1.6474378108978271
115,1.643906593322754
116,1.6414214372634888
117,1.6417827606201172
118,1.6374077796936035
119,1.6631227731704712
120,1.613982081413269
121,1.6353156566619873
122,1.6177533864974976
123,1.5989183187484741
124,1.6156189441680908
125,1.6175119876861572
126,1.6054707765579224
127,1.616607666015625
128,1.6090545654296875
129,1.6002691984176636
130,1.610650897026062
131,1.611830472946167
132,1.6283754110336304
133,1.6085386276245117
134,1.628016710281372
135,1.6281508207321167
136,1.5904968976974487
137,1.6002942323684692
138,1.5979660749435425
139,1.590191125869751
140,1.5752350091934204
141,1.5672931671142578
142,1.5667212009429932
143,1.578856348991394
144,1.5806161165237427
145,1.5981271266937256
146,1.592528223991394
147,1.5593323707580566
148,1.5642857551574707
149,1.5610450506210327
150,1.5735483169555664
151,1.5718647241592407
152,1.5699833631515503
153,1.5744521617889404
154,1.5883620977401733
155,1.614536166191101
156,1.6041080951690674
157,1.6345820426940918
158,1.6231871843338013
159,1.5829658508300781
160,1.6212220191955566
161,1.5945123434066772
162,1.5719530582427979
163,1.5615235567092896
